Participant,cond,Trial,Distance,Hit
26,goal,12,19,Yes
26,goal,13,19,Yes
26,goal,14,19,Yes
26,goal,15,19,Yes
26,goal,16,19,Yes
26,goal,17,19,Yes
26,goal,18,19,Yes
26,goal,19,19,Yes
26,goal,20,19,Yes
27,performance,1,16,Yes
27,performance,2,15,Yes
27,performance,3,14,No
27,performance,4,14,No
27,performance,5,13,No
27,performance,6,14,No
27,performance,7,14,No
27,performance,8,16,Yes
27,performance,9,16,No
27,performance,10,14,No
27,performance,11,15,Yes
27,performance,12,14,Yes
27,performance,13,13,Yes
27,performance,14,12,No
27,performance,15,12,No
27,performance,16,8,No
27,performance,17,8,No
27,performance,18,8,No
27,performance,19,8,No
27,performance,20,8,No
28,goal,1,19,Yes
28,goal,2,19,Yes
28,goal,3,16,Yes
28,goal,4,19,Yes
28,goal,5,19,Yes
28,goal,6,19,Yes
28,goal,7,19,Yes
28,goal,8,19,Yes
28,goal,9,17,Yes
28,goal,10,18,Yes
28,goal,11,18,Yes
28,goal,12,19,Yes
28,goal,13,19,Yes
28,goal,14,19,Yes
28,goal,15,19,Yes
28,goal,16,19,Yes
28,goal,17,19,Yes
28,goal,18,19,Yes
28,goal,19,19,Yes
28,goal,20,19,Yes
29,performance,1,18,Yes
29,performance,2,18,Yes
29,performance,3,15,Yes
29,performance,4,8,No
29,performance,5,9,No
29,performance,6,15,Yes
29,performance,7,14,Yes
29,performance,8,14,No
29,performance,9,15,Yes
29,performance,10,15,Yes
29,performance,11,15,Yes
29,performance,12,15,Yes
29,performance,13,15,Yes
29,performance,14,15,Yes
29,performance,15,15,Yes
29,performance,16,15,Yes
29,performance,17,14,Yes
29,performance,18,14,No
29,performance,19,14,Yes
29,performance,20,14,No
30,goal,1,3,No
30,goal,2,4,No
30,goal,3,4,No
30,goal,4,4,No
30,goal,5,4,No
30,goal,6,7,No
30,goal,7,6,No
30,goal,8,6,No
30,goal,9,6,No
30,goal,10,6,No
30,goal,11,7,No
30,goal,12,7,Yes
30,goal,13,7,No
30,goal,14,7,No
30,goal,15,7,No
30,goal,16,4,No
30,goal,17,4,No
30,goal,18,4,No
30,goal,19,4,No
30,goal,20,4,No
31,performance,1,10,Yes
31,performance,2,8,Yes
31,performance,3,8,No
31,performance,4,8,Yes
31,performance,5,7,No
31,performance,6,7,No
31,performance,7,7,No
31,performance,8,7,No
31,performance,9,7,No
31,performance,10,7,No
31,performance,11,7,No
31,performance,12,9,Yes
31,performance,13,9,No
31,performance,14,8,No
31,performance,15,8,Yes
31,performance,16,8,Yes
31,performance,17,8,No
31,performance,18,8,Yes
31,performance,19,8,Yes
32,goal,1,11,No
32,goal,2,14,No
32,goal,3,14,No
32,goal,4,14,Yes
32,goal,5,14,Yes
32,goal,6,19,Yes
32,goal,7,9,No
32,goal,8,9,No
32,goal,9,9,No
32,goal,10,12,Yes
32,goal,11,20,Yes
32,goal,12,5,No
32,goal,13,6,No
32,goal,14,12,Yes
32,goal,15,12,Yes
32,goal,16,12,No
32,goal,17,10,Yes
32,goal,18,10,No
32,goal,19,5,No
32,goal,20,4,No
33,performance,1,14,Yes
33,performance,2,14,Yes
33,performance,3,14,No
33,performance,4,14,No
33,performance,5,14,No
33,performance,6,14,No
33,performance,7,14,Yes
33,performance,8,14,Yes
33,performance,9,14,No
33,performance,10,14,Yes
33,performance,11,14,No
33,performance,12,14,No
33,performance,13,14,Yes
33,performance,14,14,Yes
33,performance,15,14,No
33,performance,16,14,Yes
33,performance,17,14,No
33,performance,18,14,Yes
33,performance,19,14,Yes
33,performance,20,16,Yes
34,goal,1,16,Yes
34,goal,2,14,Yes
34,goal,3,14,Yes
34,goal,4,16,Yes
34,goal,5,8,No
34,goal,6,11,Yes
34,goal,7,10,Yes
34,goal,8,14,Yes
34,goal,9,7,No
34,goal,10,4,No
34,goal,11,4,No
34,goal,12,4,No
34,goal,13,1,No
34,goal,14,9,Yes
34,goal,15,4,Yes
34,goal,16,2,No
34,goal,17,7,No
34,goal,18,9,No
34,goal,19,10,No
34,goal,20,1,No
35,goal,1,7,No
35,goal,2,7,No
35,goal,3,7,No
35,goal,4,9,No
35,goal,5,9,Yes
35,goal,6,9,Yes
35,goal,7,8,No
35,goal,8,8,Yes
35,goal,9,7,No
35,goal,10,7,No
35,goal,11,7,Yes
35,goal,12,6,Yes
35,goal,13,5,No
35,goal,14,5,Yes
35,goal,15,4,Yes
35,goal,16,3,No
35,goal,17,3,Yes
35,goal,18,2,No
35,goal,19,2,No
35,goal,20,1,No
